Date,IBM
03/09/2015,134.8479
04/09/2015,132.018311
08/09/2015,135.261353
09/09/2015,133.258591
10/09/2015,134.315063
11/09/2015,135.389969
14/09/2015,133.809769
15/09/2015,135.536957
16/09/2015,136.345428
17/09/2015,136.097412
18/09/2015,132.762451
21/09/2015,134.572296
22/09/2015,132.688965
23/09/2015,131.981583
24/09/2015,132.670593
25/09/2015,133.598465
28/09/2015,130.934204
29/09/2015,130.888306
30/09/2015,133.185074
01/10/2015,131.917252
02/10/2015,132.826782
05/10/2015,136.924194
06/10/2015,136.685318
07/10/2015,137.888855
08/10/2015,139.900833
09/10/2015,140.001862
12/10/2015,138.8535
13/10/2015,137.457047
14/10/2015,137.815353
15/10/2015,137.888855
16/10/2015,138.164444
19/10/2015,137.089569
20/10/2015,129.207062
21/10/2015,129.464294
22/10/2015,132.376602
23/10/2015,132.918655
26/10/2015,131.981583
27/10/2015,126.653046
28/10/2015,129.381607
29/10/2015,129.124374
30/10/2015,128.692596
02/11/2015,128.959
03/11/2015,130.346268
04/11/2015,130.116577
05/11/2015,128.518036
06/11/2015,128.202728
09/11/2015,125.476395
10/11/2015,125.624779
11/11/2015,125.207481
12/11/2015,123.371353
13/11/2015,122.175133
16/11/2015,123.992683
17/11/2015,124.094688
18/11/2015,125.949341
19/11/2015,126.802467
20/11/2015,128.43457
23/11/2015,128.397476
24/11/2015,128.527313
25/11/2015,127.970924
27/11/2015,128.397476
30/11/2015,129.28772
01/12/2015,131.012543
02/12/2015,129.547363
03/12/2015,128.824036
04/12/2015,130.224304
07/12/2015,129.408249
08/12/2015,128.017258
09/12/2015,126.681931
10/12/2015,126.839561
11/12/2015,124.790176
14/12/2015,126.051331
15/12/2015,127.776184
16/12/2015,129.16716
17/12/2015,126.811745
18/12/2015,125.096199
21/12/2015,125.652603
22/12/2015,127.906006
23/12/2015,128.471664
24/12/2015,128.202728
28/12/2015,127.609253
29/12/2015,129.621552
30/12/2015,129.213531
31/12/2015,127.6185
04/01/2016,126.069901
05/01/2016,125.977165
06/01/2016,125.346573
07/01/2016,123.204468
08/01/2016,122.06385
11/01/2016,123.547546
12/01/2016,123.241547
13/01/2016,121.637268
14/01/2016,123.250839
15/01/2016,120.580116
19/01/2016,118.79966
20/01/2016,113.003876
21/01/2016,113.977577
22/01/2016,113.597359
25/01/2016,113.207901
26/01/2016,113.680824
27/01/2016,112.169266
28/01/2016,113.337715
29/01/2016,115.72094
01/02/2016,115.758041
02/02/2016,114.005394
03/02/2016,115.656021
04/02/2016,118.373093
05/02/2016,119.226257
08/02/2016,118.954567
09/02/2016,116.228477
10/02/2016,112.593712
11/02/2016,110.401596
12/02/2016,113.389992
16/02/2016,114.982529
17/02/2016,118.130173
18/02/2016,124.078827
19/02/2016,124.669029
22/02/2016,125.31543
23/02/2016,124.031982
24/02/2016,124.406738
25/02/2016,125.999275
26/02/2016,123.685387
29/02/2016,122.748566
01/03/2016,125.87748
02/03/2016,127.685501
03/03/2016,129.090729
04/03/2016,129.090729
07/03/2016,131.292175
08/03/2016,130.280457
09/03/2016,131.535751
10/03/2016,131.329651
11/03/2016,133.362503
14/03/2016,133.755951
15/03/2016,133.924576
16/03/2016,135.638916
17/03/2016,137.746719
18/03/2016,137.793533
21/03/2016,139.236221
22/03/2016,138.739746
23/03/2016,136.210388
24/03/2016,138.599197
28/03/2016,139.020752
29/03/2016,139.891968
30/03/2016,139.030136
31/03/2016,141.877975
01/04/2016,142.880356
04/04/2016,142.458832
